age,age_start,expect_remain_years,expect_death,who_remain,who_diff
52,aged52,28.92995193635892,80.92995193635892,34.72,5.7900480636410805
57,aged57,24.525735652783112,81.52573565278311,30.1,5.574264347216889
62,aged62,20.36093595415805,82.36093595415805,25.5,5.139064045841948
67,aged67,16.504206437212048,83.50420643721205,21.12,4.615793562787953
72,aged72,13.026984709839397,85.0269847098394,16.78,3.7530152901606044
77,aged77,9.993850699803872,86.99385069980387,12.85,2.856149300196128
82,aged82,7.450345917122888,89.45034591712289,9.34,1.8896540828771116
